Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
10/23/2015,490.5,DEC 15,475.5,DEC 15,508,DEC 15
10/16/2015,492.25,DEC 15,483.5,DEC 15,512.25,DEC 15
10/9/2015,509.25,DEC 15,500.25,DEC 15,529.5,DEC 15
10/2/2015,513.25,DEC 15,500.5,DEC 15,527.25,DEC 15
9/25/2015,507.75,DEC 15,500.25,DEC 15,522.75,DEC 15
9/18/2015,486.75,DEC 15,482.25,DEC 15,511,DEC 15
9/11/2015,475.5,SEP 15,459,SEP 15,487.75,SEP 15
9/4/2015,457.75,SEP 15,448.5,SEP 15,486.25,SEP 15
8/28/2015,477,SEP 15,457.75,SEP 15,490.5,SEP 15
8/21/2015,499.5,SEP 15,471,SEP 15,502,SEP 15
8/14/2015,506.5,SEP 15,489.75,SEP 15,518.5,SEP 15
8/7/2015,510.5,SEP 15,493,SEP 15,525,SEP 15
7/31/2015,499.25,SEP 15,492.25,SEP 15,523.5,SEP 15
7/24/2015,511.75,SEP 15,507.25,SEP 15,545,SEP 15
7/17/2015,554,SEP 15,546.5,SEP 15,574.75,SEP 15
7/10/2015,581.5,JUL 15,557.5,JUL 15,597.25,JUL 15
7/3/2015,585.75,JUL 15,576,JUL 15,606.25,JUL 15
6/26/2015,562.25,JUL 15,559.25,JUL 15,595.75,JUL 15
6/19/2015,488.5,JUL 15,503.25,JUL 15,543,JUL 15
6/12/2015,503.75,JUL 15,526,JUL 15,561.25,JUL 15
6/5/2015,517,JUL 15,535.25,JUL 15,571.5,JUL 15
5/29/2015,477,JUL 15,498.75,JUL 15,530.75,JUL 15
5/22/2015,515.25,JUL 15,546.5,JUL 15,568.75,JUL 15
5/15/2015,511,JUL 15,541.75,JUL 15,561.25,JUL 15
5/8/2015,476.5,MAY 15,510.5,MAY 15,528.5,MAY 15
5/1/2015,470,MAY 15,493.25,MAY 15,520.25,MAY 15
4/24/2015,486,MAY 15,502.25,MAY 15,535,MAY 15
4/17/2015,494.5,MAY 15,509.25,MAY 15,532.75,MAY 15
4/10/2015,526.5,MAY 15,558.75,MAY 15,581,MAY 15
4/3/2015,536.25,MAY 15,582.75,MAY 15,595.5,MAY 15
3/27/2015,507.75,MAY 15,553,MAY 15,575,MAY 15
3/20/2015,530,MAY 15,569.5,MAY 15,589.5,MAY 15
3/13/2015,508.75,MAR 15,541.75,MAR 15,554.5,MAR 15
3/6/2015,485.75,MAR 15,520.75,MAR 15,542,MAR 15
2/27/2015,517.5,MAR 15,534.5,MAR 15,556,MAR 15
2/20/2015,510.25,MAR 15,533.25,MAR 15,566.75,MAR 15
2/13/2015,533,MAR 15,562.75,MAR 15,587,MAR 15
2/6/2015,527,MAR 15,561.75,MAR 15,577,MAR 15
1/30/2015,502.75,MAR 15,540.25,MAR 15,556.75,MAR 15
1/23/2015,530,MAR 15,564,MAR 15,576,MAR 15
1/16/2015,532.75,MAR 15,577,MAR 15,584.5,MAR 15
1/9/2015,563.75,MAR 15,600.5,MAR 15,603.25,MAR 15
