Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
10/30/2020,598.5,DEC 20,541.25,DEC 20,552.25,DEC 20
10/23/2020,632.75,DEC 20,569.75,DEC 20,577.5,DEC 20
10/16/2020,625.25,DEC 20,558.75,DEC 20,559.75,DEC 20
10/9/2020,593.75,DEC 20,535.5,DEC 20,543.75,DEC 20
10/2/2020,573.25,DEC 20,509.5,DEC 20,531.75,DEC 20
9/25/2020,544.25,DEC 20,475.25,DEC 20,529.75,DEC 20
9/18/2020,575,DEC 20,504.25,DEC 20,551.25,DEC 20
9/11/2020,533.75,SEP 20,473.5,SEP 20,513.25,SEP 20
9/4/2020,539.75,SEP 20,474.5,SEP 20,525,SEP 20
8/28/2020,539.25,SEP 20,461.75,SEP 20,518.5,SEP 20
8/21/2020,527.25,SEP 20,445.75,SEP 20,515,SEP 20
8/14/2020,500,SEP 20,425.25,SEP 20,497.5,SEP 20
8/7/2020,495.5,SEP 20,415.5,SEP 20,494.5,SEP 20
7/31/2020,531.25,SEP 20,442.5,SEP 20,514,SEP 20
7/24/2020,539.5,SEP 20,449.5,SEP 20,515.25,SEP 20
7/17/2020,534.75,SEP 20,448.75,SEP 20,512.75,SEP 20
7/10/2020,535.75,JUL 20,447.25,JUL 20,517,JUL 20
7/3/2020,490,JUL 20,427.25,JUL 20,495.75,JUL 20
6/26/2020,474,JUL 20,421.25,JUL 20,498.5,JUL 20
6/19/2020,481.25,JUL 20,428.25,JUL 20,524.25,JUL 20
6/12/2020,502,JUL 20,448.5,JUL 20,513.25,JUL 20
6/5/2020,515.25,JUL 20,461.25,JUL 20,518.75,JUL 20
5/29/2020,520.75,JUL 20,470.5,JUL 20,525,JUL 20
5/22/2020,508.75,JUL 20,444.5,JUL 20,513,JUL 20
5/15/2020,500.25,JUL 20,452.25,JUL 20,506.25,JUL 20
5/8/2020,529.5,MAY 20,504,MAY 20,500,MAY 20
5/1/2020,521.5,MAY 20,482,MAY 20,498.25,MAY 20
4/24/2020,526.75,MAY 20,474.75,MAY 20,499,MAY 20
4/17/2020,533.5,MAY 20,478.75,MAY 20,506.75,MAY 20
4/10/2020,556.5,MAY 20,492,MAY 20,532.5,MAY 20
4/3/2020,549.25,MAY 20,472,MAY 20,524.5,MAY 20
3/27/2020,571.25,MAY 20,486.75,MAY 20,537,MAY 20
3/20/2020,539.25,MAY 20,469,MAY 20,521,MAY 20
3/13/2020,514.75,MAR 20,431.25,MAR 20,498.25,MAR 20
3/6/2020,521.25,MAR 20,439.25,MAR 20,509,MAR 20
2/28/2020,529,MAR 20,445.5,MAR 20,511.25,MAR 20
2/21/2020,551,MAR 20,468.5,MAR 20,526,MAR 20
2/14/2020,542.75,MAR 20,465.5,MAR 20,525.5,MAR 20
2/7/2020,558.75,MAR 20,472.5,MAR 20,535.75,MAR 20
1/31/2020,553.75,MAR 20,465.5,MAR 20,533.75,MAR 20
1/24/2020,573.5,MAR 20,486,MAR 20,547.5,MAR 20
1/17/2020,570.5,MAR 20,494.25,MAR 20,560,MAR 20
1/10/2020,564.5,MAR 20,494.75,MAR 20,558.25,MAR 20
1/3/2020,554.5,MAR 20,475,MAR 20,547.5,MAR 20
12/27/2019,556.25,MAR 20,479.75,MAR 20,553.5,MAR 20
12/20/2019,542.25,MAR 20,462.25,MAR 20,536.75,MAR 20
12/13/2019,539.25,DEC 19,427.5,DEC 19,506,DEC 19
12/6/2019,532.5,DEC 19,415,DEC 19,497,DEC 19
11/29/2019,547.5,DEC 19,438.75,DEC 19,494.5,DEC 19
11/22/2019,515.25,DEC 19,424,DEC 19,492.75,DEC 19
11/15/2019,502.75,DEC 19,417,DEC 19,503.75,DEC 19
11/8/2019,510.25,DEC 19,421.5,DEC 19,518.5,DEC 19
11/1/2019,516,DEC 19,426,DEC 19,531.25,DEC 19
